basin_count,search_type,search_terms,basin_code,basin_name,ra_name,search_completed,preliminary_search,notes
G. Basin specific searches,Narrow by > Search within results (AND),"The above rows are the terms used for every search. The following rows are the 314 individual searches that need to be run. We found in manual searching the search within results yielded better results than having the basin specific searches within the primary search function. In addition, we found that the Group Duplicate function was also helpful in reducing the number of results.",BCODE,Basin_Name,RA Name,Has search been completed and all files downloaded? (Y/N/Issues),Has preliminary review been completed? (Y/N/Issues),"Search Notes, Identify any issues"
1,Narrow by > Search within results (AND),Adige,ADIG,Adige,Raunaq (only need to do the preliminary review for meeting criteria),N,N,
2,Narrow by > Search within results (AND),Akpa,AKPA,Akpa,Raunaq,Y,N,
3,Narrow by > Search within results (AND),Alakol,ALKL,Alakol,Raunaq,Y,N,
4,Narrow by > Search within results (AND),Alsek OR Bates Lake,ALSK,Alsek,Raunaq,Y,N,
5,Narrow by > Search within results (AND),Amacuro,AMCR,Amacuro,Raunaq,Y,N,
6,Narrow by > Search within results (AND),Amur OR Emur OR Huma OR Muling OR Naoli OR Songhua OR Amagun OR Argun OR Bikin OR Bureya OR CAPS(Dep) OR Gazimur OR Gilyuy OR Ingoda OR Kur OR Onon OR Oz. Chukchagirskoye OR Oz. Khanka OR Oz. Udyl' OR Shilka OR CAPS(Tok) OR Urmi OR Ussuri OR Zeya,AMUR,Amur,Raunaq,N,N,
7,Narrow by > Search within results (AND),Amazon OR Apere OR Baures OR Beni OR Guapore OR Guapore Itenex OR Lago de San Luis OR Lago Rogaua OR Madidi OR CAPS(Paragua) OR Rapulo OR San Martin OR San Miguel OR CAPS(Secure) OR Yata OR Abacaxis OR Abuna OR Acalau OR Acarai OR CAPS(Agua) Pceta OR Ajuana OR Alalau OR Anama OR Anaua OR Andma OR Apiaca OR Apiau OR Apidia OR Araca OR Araua OR Arinos OR Aripuana OR Arracias OR Arrairas OR Bacaja OR Bau OR Bia OR Brea OR Buriti OR Cach.Do Tareraimbu OR Cachoeir da Bateria OR Cachoeira Caracarai OR Cachoeira das Sete Quadas OR Cachoeira de Rebojo OR Cachoeira do Desatre OR Cachoeira do Pimena OR Cachoeira dos Indios OR Cachoeira Grande OR Cachoeira Ipada OR Cachoeira Ipanore OR Cachoeira Maranhao Grande OR Cachoeira Mergulhao OR Caluene OR Camanaa OR Camarure OR Canuma OR Capucapu OR Carabinuni OR Carajari OR Catete OR Catrimani OR Cauaburi OR Caures OR Cautario OR Chiche OR Coari OR Cotingo OR Crarari OR Crepori OR Cuiaba OR Cuiani OR Culiseu OR Cura do Sal OR Curicariari OR Curiuau OR Curu OR Curua OR Curua Una OR Curuaes OR Curuca OR Daraa OR Demini OR Demiti OR Do Paulo OR Embari OR Embira OR Fagundes OR CAPS(Ferro) OR CAPS(Fresco) OR Gregorio OR CAPS(Ia) OR CAPS(Ica) OR Igara Parana OR Imabu OR Infari OR Ipixuna OR Iriri OR Iriri Novo OR Itacuai OR Itari OR Itata OR Itaxi OR Itiguira OR Jaa OR Jamanxim OR Jamari OR Jandiatuba OR Japura OR Jaraucu OR Jari OR Jaru OR Jatapa OR Jatoba OR Jau OR Jauaperi OR Jiparana OR Jotoba OR Juina OR Jurua OR Juruena OR Jutai OR Uberaba OR de Sapucua OR do Erepeca OR Gaibo OR Grande de Manacapuru OR Mandiore OR Lago Canacari OR Liberdade OR Madeira OR Madeirinha OR Maicara OR Majari OR Mamore OR Manicana Micu OR Manso OR Mapuera OR Marapi OR Marauia OR Marie OR Maues OR Moaco OR Mucajai OR Mucucuau OR Nhamunda OR Nivo OR Padauiri OR Papagaio OR CAPS(Para) OR Paranarta OR Pareis OR Paru de Oeste OR Pauini OR CAPS(Paz) OR Peixes OR Peixoto de Azevedo OR Pinhua OR Piratucu OR Preto OR CAPS(Puras) OR Purue OR Purus OR Riozinho OR Ronuro OR Rpresa da Balbina OR Sacuriuina OR Salao OR Sangue OR Sao Benedito OR Sao Lourenco OR Sao Tume OR Sauenina OR Saueruina OR Solimooes OR Soterio OR Steinen OR Sucanduri OR Suir Micu OR Suluene OR Suramu OR Surumu OR Tamitatoula OR Batovi OR Tanguro OR Tapajos OR Tapaua OR Tapera OR Taruaca OR Tauini OR CAPS(Tea) OR Tefe OR Teles Pires OR Sao Manuel OR Theodore Roosevelt OR Tocantins OR CAPS(Triunfo) OR Uatuma OR Uneiaxi OR Unini OR Uraca OR Uraricoera OR Uruba OR Urubaxi OR CAPS(Verde) OR Vveni OR Xeriuini OR Xie OR Xingu OR Xirua OR Yavare OR Ajaju OR Apaporis OR Caqueta OR Cuduyari OR Icana OR Isasna OR Papuri OR Quainia OR Raudal Yupurari OR Devil's Cataract OR Tiquie OR Traira OR Uaupes OR Yari OR Curaray OR Morona OR Cafuini OR Ireng OR Tacutu OR CAPS(Acre) OR Allto Purus OR Apurimac OR CAPS(Blanco) OR Chandless OR CAPS(Chili) OR Correntes OR Heath OR Huallaga OR Iaco OR Inambari OR Inuya OR Jarua OR Manu Madre de Dios OR Manuripi OR Maranon OR Moranon OR Napo OR Orton OR Pachitea OR Pampas OR Postaza OR Putumayo OR San Juan OR Santa Ana OR Santa Eulalia OR Santuario OR Sheshea OR Tamuya OR Tapiche OR CAPS(Tigre) OR Ucayali OR Urabamba OR Yavari OR Trombetas OR Biria OR Casiquiare OR Concorochite OR CAPS(Grande) OR CAPS(Negro),AMZN,Amazon,Raunaq,N,N,
8,Narrow by > Search within results (AND),An Nahr Al Kabir OR Nahr Ibrahim,ANAK,An Nahr Al Kabir,Raunaq,Y,N,
9,Narrow by > Search within results (AND),Angerman,ANGE,Angerman,Raunaq,Y,N,
10,Narrow by > Search within results (AND),Annole,ANNL,Annole,Rachel,N,N,No Results
11,Narrow by > Search within results (AND),Aral OR Syr Daria OR Naryn OR Amu Daria OR Syr Darya OR Amu Darya OR Akhangaran OR Chirchik,ARAL,Aral Sea,Raunaq,N,N,
12,Narrow by > Search within results (AND),Asi OR Orontes OR Amik Golu,ASIX,Asi/Orontes,Raunaq,N,N,
13,Narrow by > Search within results (AND),Artibonite OR Depeligre,ATBN,Artibonite,Raunaq,Y,N,
14,Narrow by > Search within results (AND),Astara Chay,ATCY,Astara Chay,Raunaq,Y,N,
15,Narrow by > Search within results (AND),Atrak OR Sumber,ATRK,Atrak,Raunaq,Y,N,
16,Narrow by > Search within results (AND),Aviles,AVLS,Aviles,Raunaq,Y,N,
17,Narrow by > Search within results (AND),Abhe Bid Hayak OR Awash OR Finochaa OR Gemeri Hayak OR Petit Akabi OR Sendafa,AWSH,Awash,Raunaq,N,N,
18,Narrow by > Search within results (AND),Aysen,AYSN,Aysen,Raunaq,Y,N,
19,Narrow by > Search within results (AND),Baker OR Cochrane,BAKR,Baker,Raunaq,N,N,
20,Narrow by > Search within results (AND),Bann OR CAPS(Black Water) OR Laugh Neagh OR CAPS(Lower Laugh) Erine,BANN,Bann,Raunaq,N,N,
21,Narrow by > Search within results (AND),Bahr at Tubat,BATU,Bahr at Tubat,Raunaq,N,N,
22,Narrow by > Search within results (AND),Bidasoa,BDSO,Bidasoa,Raunaq,Y,N,
23,Narrow by > Search within results (AND),Benito OR Ntem,BENT,Benito/Ntem,Raunaq,N,N,
24,Narrow by > Search within results (AND),Bia,BIAX,Bia,Raunaq,N,N,
25,Narrow by > Search within results (AND),Beilun,BLUN,Beilun,Raunaq,Y,N,
26,Narrow by > Search within results (AND),Belize OR Mopan,BLZE,Belize,Raunaq,N,N,
27,Narrow by > Search within results (AND),Bangau,BNGU,Bangau,Raunaq,Y,N,
28,Narrow by > Search within results (AND),Oued Bou Namoussa,BNSA,Oued Bou Namoussa,Raunaq,Y,N,
29,Narrow by > Search within results (AND),Berbyelva,BRBY,Berbyelva,Raunaq,Y,N,No results
30,Narrow by > Search within results (AND),Baraka,BRKA,Baraka,Raunaq,Y,N,
31,Narrow by > Search within results (AND),Barima,BRMA,Barima,Raunaq,Y,N,
32,Narrow by > Search within results (AND),Barta,BRTA,Barta,Raunaq,Y,N,
33,Narrow by > Search within results (AND),Buzi OR Rio Revue OR Chibudzana OR Nyanhombo OR CAPS(Rio) OR Sterkstroom,BUZI,Buzi,Raunaq,N,N,
34,Narrow by > Search within results (AND),Caetani,CAET,Caetani,Raunaq,Y,N,
35,Narrow by > Search within results (AND),Ca OR Song Lam,CAXX,Ca/Song Lam,Raunaq,N,N,
36,Narrow by > Search within results (AND),Candelaria,CDLR,Candelaria,Raunaq,Y,N,
37,Narrow by > Search within results (AND),Changuinola,CGNL,Changuinola,Raunaq,Y,N,
38,Narrow by > Search within results (AND),Carmen Silva OR Chico,CHIC,Carmen Silva/Chico,Raunaq,Y,N,
39,Narrow by > Search within results (AND),Chira,CHIR,Chira,Raunaq,Y,N,
40,Narrow by > Search within results (AND),Choluteca,CHLT,Choluteca,Raunaq,Y,N,
41,Narrow by > Search within results (AND),Chuy,CHUY,Chuy,Raunaq,Y,N,
42,Narrow by > Search within results (AND),Colorado OR CAPS(Alamo Lake) OR Alamosa OR Bartlett OR CAPS(Big) Sundy OR Bill Williams OR CAPS(Bitter Creek) OR CAPS(Blue Mesa Reservior) OR Bouse CAPS(Wash) OR Bug Chino CAPS(Wash) OR CAPS(Bullfrog) OR CAPS(Burro) Creek OR Canon Largo OR Chaco Chinle Wash OR CAPS(Cherry Creek) OR Colorado OR CAPS(Comb Wash) OR CAPS(Conejos) OR CAPS(Cottonwood) Wash OR Crtstal OR CAPS(Dad Clark Gulch) OR CAPS(Dirty Devil) OR Dolores OR Duchesne OR Schwacheim Creek OR CAPS(East Bitter Creek) OR CAPS(East Verde) OR Escalante OR Florida OR Fremont OR Gannison OR Gila OR CAPS(Green) OR Halls Creek OR Hassayampu OR Imperial Reservior OR Kanab Creek OR Lake Havase OR Lake Mead OR Lake Mohave OR Lake Powell OR CAPS(Los Pinos) OR Mancos OR CAPS(Moon Lake) OR CAPS(Muddy Creek) OR Navajo Reservior OR CAPS(New) OR CAPS(Nine Mile Creek) OR CAPS(Oak Creek) OR Paria OR Piceance Creek OR Pinon Canyon Arroyo OR CAPS(Price) OR Purgatoire OR Roan Creek OR Roaring Fork OR Rock Creek OR Sacramento Wash OR San Juan OR San Miguel OR San Rafael OR Santa Maria OR Senac Creek OR Show Low Creek OR Stinking Lake OR Strawberry OR Strawberry Reservior OR CAPS(Taylor) OR Trout Creek OR Uinta OR Uncompahagre OR CAPS(Verde) OR West Toll Gate Creek OR CAPS(White) OR CAPS(Willow Creek) OR CAPS(Yellow Creek),CLDO,Colorado,Raunaq,N,N,
43,Narrow by > Search within results (AND),Chilkat,CLKT,Chilkat,Raunaq,Y,N,
44,Narrow by > Search within results (AND),Columbia OR Christina Lake OR Clolumbia OR Columbia Lake OR CAPS(Cranberry) OR Duncan Lake OR CAPS(Dutch) OR Findlay OR CAPS(Fry) OR CAPS(Goat) OR Hosethief OR Kootenay OR Kootenay Lake OR Lardean OR Lower Arrow Lake OR Skaha Lake OR Slocan Lake OR Upper Arrow Lake OR Whiteswan Lake OR Windermere Lake OR Banks Lake OR Bunt OR Burrell OR Butter OR Chewuch OR CAPS(Crab) OR CAPS(Crater) OR CAPS(Crooked) OR Deschutes OR Grandy OR Imnaha OR Jon Day OR Joseph Cr OR Kalama OR Klickitat OR Lake Chelan OR Lake Owyhee OR Lake Pend Ireukke OR CAPS(Billy Chinook) OR Little Crater Creek OR Little Malheur OR Lostine OR Lower Willow Creek OR Malheur OR McKenzie OR Meadow Creek OR Methow OR Middle Creek OR CAPS(Middle Fork) OR Minam OR CAPS(Mine Creek) OR Moses Lake OR N Fork Sanpoil OR N Fork Jon Day OR North Fork OR North Fork Sugar Creek OR North Santiam OR North Sugar Creek OR Ochoco Lkae OR Okanogan OR Omak Lake OR Osoyoos Lake OR Owyhee OR Palouse OR Pend Oreille OR Pleasany Creek OR Pole Creek OR Potholes OR Potlatch OR CAPS(Powder) OR Prineville OR CAPS(Rock) OR Roosevelt Lake OR Rufus Woods Lake OR CAPS(Salmon) OR Sanpoil OR CAPS(Snake) OR South Santiam OR St. Joe OR St. Maries OR Troublesome Creek OR Trout Creek OR Tumalo OR Turkey Creek OR Umatilla OR Ute Creek OR Wala Wala OR Wallowa OR Wallowa Lake OR CAPS(Warm Springs) OR Wenaha OR West Little Owyhee OR Willamette OR Williams Fork OR Willow Creek OR Yakima,CLMB,Columbia,Rachel,N,N,
45,Narrow by > Search within results (AND),Chiloango,CLNG,Chiloango,Raunaq,Y,N,no results
46,Narrow by > Search within results (AND),Cancoso OR Lauca OR Lagoon de Coipasa,CNCS,Cancoso/Lauca,Raunaq,Y,N,
47,Narrow by > Search within results (AND),Connecticut,CNCT,Connecticut,Raunaq,N,N,
48,Narrow by > Search within results (AND),Congo OR Zaire OR Cambo OR Chiumbe OR Cuilo OR Luangue OR Lui OR Uamba OR Borodo OR Chinko OR Kotto OR Lim OR Lobaya OR Mambere OR Mbali OR Mbari OR Mpoko OR Ouaka OR Ouarra OR Pama OR Bek OR Boumba OR Boumbe II OR Dja OR Doume OR Kadei OR Aka OR Aruwimi OR Asa OR Bakali OR Bilati OR Bili OR Bima OR Bolmobo OR Bomu OR Bushmaie OR Bwere OR Chicapa OR Damu OR Dengu OR Dua OR Dungu OR Duru OR Ebola OR Elila OR Fimi OR Gada OR Gangu OR Garamga OR Giri OR Gurba OR Gwane OR Ibina OR Ikelemba OR Inzia OR Itimbiti OR Ituri OR Kama OR Kaongesh OR Kapili OR Kasai OR Cassai OR Kibali OR Kwango OR Cuango OR Kwenge OR Kwilu OR Lac de Retenue OR Lac Mai Ndombe OR Lac Ntomba OR LacUpembo OR Lake Mweru OR Lenda OR Likati OR Lindi OR Loange OR Loile OR Lokolo OR Lokoro OR Lomako OR Lomami OR Lomlera OR Lopori OR Lovua OR Luachimo OR Lualaba OR Luama OR Lubadi OR Lubefu OR Lubi OR Lubilash OR Lubudi OR Lubue OR Lubuero OR Luembe OR Lueo OR Lueob OR Lueta OR Lufira OR Luilaka OR Luilu OR Luizi OR Lukashi OR Lukeni OR Lukuga OR Lukunga OR Lulonga OR Lulua OR Lupweji OR Lushiko OR Lutshima OR Luvidjo OR Luvua OR Maiko OR Maringa OR Momboyo OR Mongala OR Nagaya OR Nava OR Nepoko OR Nzoro OR CAPS(Oso) OR Pool Malebo OR Rubi OR Ruki Bushira OR Salonga OR Sankuru OR Shiuapa OR Tele OR Tshopo OR Ubangi OR Oubngai OR Uele OR Uere OR Ulindi OR Wamba OR Yenge OR Alima OR Djoue OR Elia OR Ibenga OR Kandeko OR Kouyou OR Lefini OR Lengoue OR Likouala OR Likuala OR Lowa OR Lugulu OR Mambili OR Opa OR Motaba OR Ngoko OR N'keni OR Oubangi OR Ubungi OR Sangha OR Lake Bangweula OR Lake Mweru Luapula OR Luapula,CNGO,Congo/Zaire,Raunaq,N,N,
49,Narrow by > Search within results (AND),CAPS(Coco) OR Segovia OR Amaka OR Bocay OR Waspuk,COCO,Coco/Segovia,Raunaq,N,N,
50,Narrow by > Search within results (AND),Comau,COMA,Comau,Raunaq,Y,N,
51,Narrow by > Search within results (AND),CAPS(Copper),COPR,Copper,Raunaq,N,N,
52,Narrow by > Search within results (AND),CAPS(Cross),CROS,Cross,Raunaq,N,N,
53,Narrow by > Search within results (AND),Corantijn OR Courantyne,CRTY,Corantijn/Courantyne,Raunaq,Y,N,no results
54,Narrow by > Search within results (AND),Coruh,CRUH,Coruh,Raunaq,Y,N,
55,Narrow by > Search within results (AND),Castletown,CSTL,Castletown,Raunaq,Y,N,
56,Narrow by > Search within results (AND),Cestos OR Nuon,CSTO,Cestos,Raunaq,Y,N,
57,Narrow by > Search within results (AND),Coatan Achute,CTAT,Coatan Achute,Raunaq,Y,N,No results
58,Narrow by > Search within results (AND),Cetina,CTNA,Cetina,Raunaq,Y,N,
59,Narrow by > Search within results (AND),Catatumbo,CTTB,Catatumbo,Raunaq,Y,N,
60,Narrow by > Search within results (AND),Cullen,CULL,Cullen,Raunaq,N,N,
61,Narrow by > Search within results (AND),Cavally OR Dube,CVLY,Cavally,Raunaq,N,N,
62,Narrow by > Search within results (AND),Corovode OR Flog OR Prishte OR Almbach OR Attersee OR Danube OR Donau OR Drau OR Enns OR Fischa OR Freibach OR Glan OR Gurk OR Hollersbach OR Ill OR Kamp OR Lutz OR Moell OR Mur OR Murz OR Naarn OR Otzaler Ache OR Piesting OR Salza OR Steyr OR Stubache OR Traisen OR Traun OR Traunsee OR Wagrainer Ache OR Worther See OR Ybbs OR Zamser Bach OR Zemm OR Ziller OR Dabnika OR Dere OR Iskar OR Iskur OR Lajenska bara OR Lom OR Lomoashko dere OR Ogosta OR Osum OR Rositsa OR Skut OR Tuchenishka reka OR Vit OR Yantra OR Yazovir A. Stamboliyski OR Yazovir Iskur OR Drinjaca OR Musnica OR Vrba OR Jihlava OR Morava OR Jihalva OR Markovka OR Sveceny potok OR Svratka OR Amper OR Asenbach OR Breg OR Brigach OR Chamb OR Chiem see OR Forvven see OR Glonn OR Gunz OR Iller OR Ilz OR Isar OR Lech OR Naab OR Paar OR Riss OR Rot OR Rott OR Rottach OR Salzach OR Vils OR Walchen see OR Wertach OR Zusam OR Bednja OR Karasica OR Vuka OR Balaton OR Ipoly OR Kapos OR Koppany OR Koros OR Lajta OR Leitha OR Marcal OR Raba OR Sarviz sio OR CAPS(Sio) OR Szaraz Er OR Velencei To OR CAPS(Inn) OR Spol OR Ialpag OR Amaradia OR Arges OR Bahluet OR Bahlui OR Barzava OR Basca mare OR Baseul OR Batul OR Bega OR Belareca OR Berheci OR Bicaz OR Birlad OR Bistra OR Bistrita OR Bistrita Ardealului OR Bizaya OR Borcea OR Brarul Salina OR Bratul Chilia OR Bratul Sfintu Gheorghe OR Buzau OR Calmatui OR Cerna OR Cernas OR Colentina OR Cotorca OR Cumpana OR Desnatui OR Dimbovita OR Doamnei OR Drincea OR Dunarea OR Gilort OR Gologan OR Gurguiata OR Ialomita OR Jijia OR Jiu OR Callarasi OR Lacal Brates OR Lacul Cabal OR Lacul Greaca OR Lacul Potelu OR Lacul Suhaia OR Lisova OR Moldova OR Mostistea OR Mostru OR Motru OR Mures OR Maros OR Neajlov OR Olanesti OR Olt OR Oltet OR Pereschiv OR Podriga OR Poganis OR Prahova OR Putna OR Raul Doamnei OR Rimna OR Rimnic OR Sebes OR Simila OR Sitna OR Suceave OR Teleorman OR Timis OR Tutova OR Valea Seaca OR Valsan OR Vedea OR Cierny Vah OR Dunaj OR Jablonianka OR Teplicka OR OR Drava OR Ipel OR Ipoli OR Hron OR Nitra OR Vah OR Cheremosh OR Ozero Kahul OR Ozero Katlabukh OR Ozero Kytay OR Ozero Yapuh OR Prut OR Siret OR Beli Rzav OR Beli Timok OR Binacka Morava OR Bosut OR Brzava OR Caras OR Cehotina OR Crni Radalj OR Detinja OR Drina OR Grliska Reka OR Ibar OR Jablanica OR Jadar OR Jasenica OR Juzna Morava OR Kolubara OR Krivaja OR Lim OR Lipovica OR Mlava OR Moravica OR Nisaua OR Pek OR Piva OR Raska OR Resava OR Sava OR Silinica OR Tamis OR Tamnava OR CAPS(Tara) OR Timok OR Tisa OR Toplica OR Uvac OR Velika Morava OR Zapadna Morava,DANU,Danube,Raunaq,N,N,
63,Narrow by > Search within results (AND),Daoura,DAUR,Daoura,Rachel,Y,N,
64,Narrow by > Search within results (AND),Digul,DIGL,Digul,Rachel,Y,N,
65,Narrow by > Search within results (AND),Dnieper OR Byarezina OR Pinsk Marshes OR Ptsich OR Sozh OR Iput' OR Desna OR Dniepr OR Horyn' OR Inhulets OR Kremenchats'ke Vdskh OR Prypyats' OR Ps'ol OR Seym OR Sluch OR Snov OR Stokhid OR Styr OR Sula OR Uzh OR Vopskla OR,DNPR,Dnieper,Raunaq,N,N,
66,Narrow by > Search within results (AND),Dniester OR Dniestr OR Seret,DNSR,Dniester,Rachel,Y,N,
67,Narrow by > Search within results (AND),CAPS(Don) OR Kalaus OR Khoper OR Medreditsa OR Oskol OR Oz Manych Gudilo OR Sal OR Sir. Donets OR Sosna OR Tsimlyanskoye Vdkhr OR Vorona OR Voronezh,DONX,Don,Raunaq,N,N,
68,Narrow by > Search within results (AND),Dragonja,DRAG,Dragonja,Rachel,Y,N,
69,Narrow by > Search within results (AND),Dra OR Qued Zemoul OR Qued Dades,DRAX,Dra,Rachel,Y,N,
70,Narrow by > Search within results (AND),Cemerice OR Drin OR Drinizi OR Fshat OR Gjemon OR Gjonc OR Kamenice OR Kasaj OR Lavdan OR Leminot OR Markez OR Ohridsko Jezero OR Lake Ohrid OR Prifte OR Sopale OR Teqese OR T'plan OR Tropoje OR Verlen OR Zberga OR Beli Drim OR Pecska Bistrica,DRIN,Drin,Raunaq,N,N,
71,Narrow by > Search within results (AND),Dasht,DSHT,Dasht,Rachel,Y,N,
72,Narrow by > Search within results (AND),Drysa OR Dzirina Zakh OR Dzisna OR Voz Drysvyaty OR Voz Snudy OR Levuo OR Aiviekeste OR Berze OR Daugava OR Lecaba OR Lielupe OR Lubanas Ezers OR Lucava OR Maita OR Memele OR Misa OR Musa OR Ogre OR Pededze OR Reznas Ezers OR Rusonu Ezers OR Sivera Ezers OR Svete,DUGV,Daugava,Raunaq,N,N,
73,Narrow by > Search within results (AND),Adaja OR Aliste OR Bembezar OR Bibey OR Cea OR Cega OR Duero OR Embalse de Saucelle OR Embalse de Barropis de Luna OR Embalse De Linares OR Embalse de Richobayo OR Embalse de santa Teresa OR Embalse del Agueda OR Embalse de Almendra OR Embalse de Burgomillodo OR Embalse de la Cuerda del pozo OR Eresma OR Eria OR Esgueva OR Esla OR Espartero OR Guarena OR Huebra OR Largo de Sanabria OR Mourela OR Orbigo OR Porma OR Retortillo OR San Miguel OR Sequillo OR Tera OR Torio OR Tormes OR Travancos OR Valderaduey OR Valdesirgas OR Yeltes OR Agueda OR Arcosso OR Cabrum OR Cavado OR Coa OR Douro OR Embalse alse de Saucelle OR Embalse de Aldeadavila OR Paiva OR Rabacal OR Rabagao OR CAPS(Sabor) OR CAPS(Sabroso) OR CAPS(Seco) OR CAPS(Sordo) OR Tamega OR Tavora OR Tua OR Tuela OR Varosa,DURO,Douro/Duero,Raunaq,N,N,
74,Narrow by > Search within results (AND),CAPS(Aguas Limpias) OR Al canadre OR Ara OR Aragon OR Arba OR Arga OR Barranco El Grado OR Bergantes OR Cinca OR Ebro OR Embalse de Santolea OR Embalse de Sotonera OR Embalse de Canelles OR Embalse de Mediano OR Embalse de Santa Anna OR Embalse de Talarn OR Embalse de Yesa OR Embalse de Mequinenza OR Esca OR Escarra OR Esera OR Espot OR Gallego OR Guadalope OR Huerva OR Irati OR Jalon OR Jiloca OR Lago Arriel OR Martcn OR Noguera Pallaresa OR Noguera Ribagorzana OR Panta de Riva-roga OR Peguera OR Pineta OR Riguel OR Segre OR Somero OR Urdiceto,EBRO,Ebro,Raunaq,N,N,
75,Narrow by > Search within results (AND),Elbe OR Bilina OR Moricuv potok OR Mze OR Odrava OR Ohre OR Ploucnice OR Radbuza OR Tepla OR Aland OR Alster OR Biese OR Bleiloch Talsperre OR Bode OR Do sse OR Dumme OR Ehle OR Fiener Bruch OR Fuhne OR Havel OR Ilm OR Jeetzel OR Kalte Bode OR Milde OR Mulde OR Rappbode OR Saale OR Schaal see OR Schilde OR Schwarze Elster OR Selke OR Stepenitz OR Stor OR Sude OR Uchte OR Wipper OR Zillierbach,ELBE,Elbe,Raunaq,N,N,
76,Narrow by > Search within results (AND),Elancik,ELNK,Elancik,Rachel,N,N,No Results
77,Narrow by > Search within results (AND),Erne OR Lower Lough Erne OR Upper Lough Erne,ERNE,Erne,Rachel,Y,N,
78,Narrow by > Search within results (AND),Essequibo OR Burro-Burro OR Illiwa OR Kwitaro OR Mazarani OR Mazaruni OR Rupununi OR Siaruni OR Takutu OR Tacuta OR Cuyuni,ESQB,Essequibo,Rachel,Y,N,
79,Narrow by > Search within results (AND),Cuvelai OR Etosha,ETOS,Cuvelai/Etosha,Rachel,Y,N,
80,Narrow by > Search within results (AND),Fane,FANE,Fane,Rachel,Y,N,
81,Narrow by > Search within results (AND),CAPS(Flurry),FLRY,Flurry,Raunaq,N,N,
82,Narrow by > Search within results (AND),CAPS(Fly),FLYX,Fly,Raunaq,N,N,
83,Narrow by > Search within results (AND),Fenney,FNNY,Fenney,Rachel,Y,N,
84,Narrow by > Search within results (AND),Foyle,FOYL,Foyle,Raunaq,N,N,
85,Narrow by > Search within results (AND),Fraser OR Adams OR Adams Lake OR Akie OR Baezaeko OR CAPS(Big Creek) OR CAPS(Blueberry) OR Bonaparte OR Bowron OR Cameron OR Canim Lake OR Carp Lake OR Chilcotin OR Chilko OR Chilko Lake OR Chillwack OR Chillwack Lake OR Crooked OR Doig OR CAPS(Driftwood) OR Eutsuk Lake OR Finlay OR Francois Lake OR Gamsby OR CAPS(Gardner Canal) OR CAPS(Graham) OR CAPS(Green) Lake OR CAPS(Halfway) OR Herrick OR CAPS(Horsefly) Lake OR Ingenika OR Kitlope OR Kwadacha OR Lillooet Lake OR Mabel Lake OR Maligne Lake OR Mc Gregor OR McLeod Lake OR Mesilinka OR Milligan Creek OR Murphy Lake OR Murtle Lake OR Nachako OR Nation OR Nazko OR Nechako OR Nechako Reservoir OR Nicola OR North Thomson OR Omineca OR Ootsa Lake OR Osilinka OR Ospika OR CAPS(Peace) OR Pinchi Lake OR CAPS(Pine) OR Quesnel OR Quesnel Lake OR CAPS(Salmon) OR Shuswap Lake OR Skagit OR Stuart OR Stuart Lake OR Takla Lake OR Taseko OR Testachuck Lake OR Thomson OR Tohtsa Lake OR Trenbleur Lake OR Tsacha Lake OR West Road OR Whit Sail,FRSR,Fraser,Raunaq,N,N,
86,Narrow by > Search within results (AND),Firth OR Joe OR Mancha,FRTH,Firth,Raunaq,N,N,
87,Narrow by > Search within results (AND),Gallegos OR CAPS(Chico),GALG,Gallegos/Chico,Raunaq,N,N,
88,Narrow by > Search within results (AND),Gambia OR Sandougou,GAMB,Gambia,Raunaq,N,N,
