basin_count,search_type,search_terms,basin_code,basin_name,ra_name,search_completed,preliminary_search,notes
89,Narrow by > Search within results (AND),Ganges OR Brahmaputra OR Meghna OR Jamuna OR Yarlung OR Raka OR Maquan OR Yi'ong OR Arunavati OR Baitha Nalla OR Banjari Nalla OR Barotha Nalla OR Basuki OR Betwa OR Bhat OR Bhima OR Bhudna Nalla OR Bora Nala OR Bori Nalla OR Bori OR Brah Maputra OR Buchaopa Nala OR Budhabudiani OR Chakar OR Chambal OR Chandrakeshar OR Deogud OR Dhu'sia Nalla OR Dibgrajheda OR Dihang OR Dongrakheda OR Erai OR Gamori OR Gandak OR Ganji OR Gej OR Ghaghara OR Ghod OR Ghunghutta OR Gomati OR CAPS(Human) OR Jamni OR Jhumka OR Jhura OR Kanoli OR Kans OR Ken OR Khakra Jore OR Khaprar Nalla OR Kharpara OR Kims Nalla OR Koop Nalla OR Kundan Nalla OR Lakheri OR Local Drain OR Manas OR Mandale OR Maska Nalla OR Mayurakshi OR Momanpura OR Moti Nalla OR Mutki OR Nagda Nalla OR Negri OR Pahuj OR Paras OR Paronch OR Pathrai OR Phon OR Pip Nalla OR Rajewasti OR Rohini OR Sagar Betwa OR Sajnam OR Sampna OR Saprar OR Sarda OR Shahjad OR Shetfal Nalla OR Sijar OR Sind OR Sindh Nalla OR Sindh Yamuna OR Son OR Songhua OR Subarnarekha OR Surhi OR Takli Kheda OR Tapti OR Tisla OR Uttari Stream OR Vel OR Yamuna OR Arun OR Karnali OR Sapt Kosi OR Sun Kosi OR Tamur,GANG,Ganges-Brahmaputra-Meghna,Raunaq,N,N,
90,Narrow by > Search within results (AND),Gash,GASH,Gash,Raunaq,N,N,
91,Narrow by > Search within results (AND),Geba OR Corubal OR Kayanga,GEBA,Geba-Corubal,Rachel,Y,N,
92,Narrow by > Search within results (AND),Grijalva OR Grijalva OR CAPS(Azul),GJLV,Grijalva,Raunaq,N,N,
93,Narrow by > Search within results (AND),Glama,GLAM,Glama,Rachel,Y,N,
94,Narrow by > Search within results (AND),Galana,GLNA,Galana,Rachel,Y,N,
95,Narrow by > Search within results (AND),Golok,GLOK,Golok,Rachel,Y,N,
96,Narrow by > Search within results (AND),Goascoran,GOSR,Goascoran,Rachel,Y,N,
97,Narrow by > Search within results (AND),Affluent du Lot OR Agout OR Alrance OR Ariege OR Arrats OR Aveyron OR Bage OR Baise OR Ceret OR Cerou OR Dadou OR Dourdou OR Dropt OR Garonne OR Gelise OR Gers OR Gesse OR Gimone OR Labenede OR Lezert OR Lot OR Osse OR Save OR Tarn OR Tolerme OR CAPS(Touch) OR Truel OR Truyere OR Valescure OR Vebre OR Viaur OR Vioulou OR Ardila OR Campilhas OR Chanca OR Cobres OR Dogeba OR Odivelas OR Roxo OR Vale Diogo OR Vascao OR Xarrama,GRON,Garonne,Raunaq,N,N,
98,Narrow by > Search within results (AND),Gruzskiy Yelanchik,GRYE,Gruzskiy Yelanchik,Rachel,N,N,No Results
99,Narrow by > Search within results (AND),CAPS(Great) Scarcies,GSCR,Great Scarcies,Raunaq,N,N,
100,Narrow by > Search within results (AND),Guadiana,GUDN,Guadiana,Rachel,Y,N,
101,Narrow by > Search within results (AND),Guir,GUIR,Guir,Rachel,Y,N,
102,Narrow by > Search within results (AND),Gauja,GUJA,Gauja,Rachel,Y,N,
103,Narrow by > Search within results (AND),Anpyung OR Banbyon OR Bongjeon OR Buk OR Chachon OR Chongyong OR Chungdo OR Dae OR Donghwa OR Eumsung OR Gabsan OR Geumho OR Geumpo OR Gisegok OR Guan OR Gugeo OR Gumi OR Gupyung OR Gyungho OR CAPS(Han) OR Hangye OR Ieon OR Ilgwang OR Janggok OR Jangsu OR Jasan OR Jinchon OR Jinwi OR Jongri OR Joryong OR Jungdong OR Milwon OR Mulchi OR Munam OR Myungam OR Naega OR Naesung OR Nakdong OR Namhan OR Pumgok OR Sagae OR Samgi OR Seokhwa OR Soga OR Suyeong OR Suyong OR Wangjwa OR Woldong OR Yo OR Yongchon OR Yongge OR Yongwoon OR Chongryong OR Hanchon,HANX,Han,Raunaq,N,N,
104,Narrow by > Search within results (AND),Hari OR Harirud,HARI,Hari/Harirud,Raunaq,N,N,
105,Narrow by > Search within results (AND),Hamun I Mashkel OR Rakshan,HIMR,Hamun-i-Mashkel/Rakshan,Rachel,Y,N,Results only availabel for years 2014-2019
106,Narrow by > Search within results (AND),Ab-e Istadeh-ye OR Arghanadab OR Dasht-e Nuvar OR Hamuh-e Puzak OR Helmand OR Rowd-e Lurah OR Tarnak OR Kor OR Sivand,HLMD,Helmand,Rachel,N,N,
107,Narrow by > Search within results (AND),Hondo OR CAPS(Azul),HOND,Hondo,Rachel,N,N,
108,Narrow by > Search within results (AND),Har Us Nur,HRUN,Har Us Nur,Rachel,N,N,
109,Narrow by > Search within results (AND),Hsi OR Bei Jiang OR Dachun He OR Lian Jiang OR Liangjiang OR Maotiao He OR Miaotiaohe OR Sancha He OR Sanchahe OR Weijang OR Wengjiang,HSIX,Bei Jiang/Hsi,Rachel,Y,N,
110,Narrow by > Search within results (AND),Incomati OR Komati,ICMT,Incomati,Rachel,Y,N,
111,Narrow by > Search within results (AND),Ili OR Kunes He OR Illi OR Malaya Almaatinka,ILIX,Ili/Kunes He,Rachel,Y,N,
112,Narrow by > Search within results (AND),Indalsalven,INDL,Indalsalven,Rachel,Y,N,
113,Narrow by > Search within results (AND),Indus OR Shiqnan OR Aarzan Garzan OR Beas OR Bodhegaon OR Gilgit OR Jogwada OR Koyna OR Kundlika OR Saraswati OR Sindphana OR Chenab OR Haro OR Jamergal OR Jhelum OR Kabul OR Khal Kass OR Kundar OR Manch har Lake OR Nain Sikh OR Ravi OR Saddle Dam OR Sutlej OR Swat OR Tain Pura OR Zhob,INDU,Indus,Rachel,N,N,
114,Narrow by > Search within results (AND),Irrawaddy OR Daying OR Long Chuan OR Thoubal Turel OR Logtak Lake OR Chidwin OR Chindwin OR Chinthe OR Gedu OR Heinhtun OR Iudawgyi Lake OR Kaukkwe OR Kiu OR Kodan OR Lang OR CAPS(Ma) OR Mali OR Manipur OR Meza OR CAPS(Mon) OR Mu OR Myitnge OR Myittha OR Nampak OR Namyin OR Nat E-zu OR Nmai OR Pani OR Schweli OR Tainggwin OR Tamai OR Tarung OR Tizu-Nantaleik OR Uyn OR CAPS(Yao) OR CAPS(Yu) OR Zahaw,IRWD,Irrawaddy,Rachel,N,N,
115,Narrow by > Search within results (AND),Isonzo OR Soca,ISNZ,Isonzo,Rachel,Y,N,
116,Narrow by > Search within results (AND),Jayapura,JAPR,Jayapura,Rachel,Y,N,
117,Narrow by > Search within results (AND),Jacobs,JCBS,Jacobs,Rachel,N,N,
118,Narrow by > Search within results (AND),Jordan OR CAPS(Dead Sea) OR Sea of Galilee OR Nahr az Zarga OR Wadi al Jaydyb OR Yarmuk OR Hasbani,JORD,Jordan,Rachel,N,N,
119,Narrow by > Search within results (AND),Juba OR Shibeli OR Baua OR Daketa OR Fafen OR Genale OR Jerer OR Ramis OR T'er OR Wabe Gestro OR Wabe Shebele OR Welmel OR Dawa OR Madax Gooy OR Webi Shabelle,JUBA,Juba-Shibeli,Rachel,N,N,
120,Narrow by > Search within results (AND),Jurado,JURD,Jurado,Rachel,Y,N,
121,Narrow by > Search within results (AND),Kaladan,KALD,Kaladan,Rachel,Y,N,
122,Narrow by > Search within results (AND),Kemi OR Alasuolijarvi OR Askanjoki OR Jeesiojoki OR Juotasjoki OR Kemijoki OR Kemiyari OR Kitinen OR Luiro OR Luirojoki OR Ounasjoki OR Porttipahata Reservoir OR Unari,KEMI,Kemi,Rachel,Y,N,
123,Narrow by > Search within results (AND),Kogilnik,KGNK,Kogilnik,Rachel,Y,N,No Results Were Found in Search
124,Narrow by > Search within results (AND),Komoe OR Bayakokore OR Iringou OR Leraba-Occidentale OR,KMOE,Komoe,Rachel,Y,N,
125,Narrow by > Search within results (AND),Karnaphuli OR Karnafuli,KNFL,Karnaphuli,Rachel,Y,N,
126,Narrow by > Search within results (AND),Kowl E Namaksar,KOWL,Kowl E Namaksar,Rachel,N,N,
127,Narrow by > Search within results (AND),Krka,KRKA,Krka,Rachel,Y,N,
128,Narrow by > Search within results (AND),Klaralven OR Lettan OR Ore alv,KRLV,Klaralven,Rachel,Y,N,
129,Narrow by > Search within results (AND),Kunene OR Cunene OR Caculuvar,KUNE,Kunene,Rachel,Y,N,
130,Narrow by > Search within results (AND),Kura OR Araks OR Azat OR Lori OR Mingacevir Reservior OR Aragvi OR Iori OR Khrami OR Ahar OR Ajy Chay OR Aras OR Qareh,KURA,Kura-Araks,Rachel,N,N,
131,Narrow by > Search within results (AND),Lava OR Pregel,LAVA,Lava/Pregel,Rachel,Y,N,
132,Narrow by > Search within results (AND),Laguna Filaret,LGFL,Laguna Filaret,Rachel,Y,N,
133,Narrow by > Search within results (AND),Lotagipi Swamp,LGPS,Lotagipi Swamp,Rachel,N,N,
134,Narrow by > Search within results (AND),CAPS(Lima) OR Laguna de Antela,LIMA,Lima,Rachel,N,N,
135,Narrow by > Search within results (AND),Lake Azuei,LKAZ,Lake Azuei,Rachel,N,N,
136,Narrow by > Search within results (AND),Lake Chad OR Bamingui OR Bangoran OR Bongoul OR Goro OR Gribingui OR Kamear OR Manovo OR Ouandja OR Ouham OR Oulou OR Pende OR Vakaga OR Vassako OR Yata OR Dillia OR Tegouma OR Kano OR Katagum OR Komadugu Gana OR Ngadda OR Yedseram OR Wadi Tiwal OR Ba illi OR Bahr Aoak OR Bahr Azourn OR Bahr el Ghazal OR Soro OR Bahr Ergig OR Bahr Keita OR Doka OR Bahr Salamat OR Chari OR Logone,LKCH,Lake Chad,Rachel,N,N,
137,Narrow by > Search within results (AND),Lake Chilwa,LKCW,Lake Chilwa,Rachel,Y,N,
138,Narrow by > Search within results (AND),Lake Cayo,LKCY,Lake Cayo,Rachel,N,N,
139,Narrow by > Search within results (AND),Lak Dera,LKDR,Lak Dera,Rachel,Y,N,
140,Narrow by > Search within results (AND),Lake Enriquillo,LKEQ,Lake Enriquillo,Rachel,N,N,
141,Narrow by > Search within results (AND),Lake Fagnano,LKFN,Lake Fagnano,Rachel,N,N,
142,Narrow by > Search within results (AND),Lake Natron OR Ewaso Ng'iro,LKNT,Lake Natron,Rachel,N,N,
143,Narrow by > Search within results (AND),Lake Prespa OR Frankovishte OR Grabovice OR Grunjas OR Hyle OR Jame OR Mujaz OR P.pusave OR Plloce OR Stropske OR Vakefi,LKPP,Lake Prespa,Rachel,N,N,
144,Narrow by > Search within results (AND),Lake Rukwa,LKRW,Lake Rukwa,Rachel,Y,N,
145,Narrow by > Search within results (AND),Lake Sarygamesh,LKSG,Lake Sarygamesh,Rachel,N,N,
146,Narrow by > Search within results (AND),Lake Titicaca Poopo OR Lagoon Arapa,LKTC,Lake Titicaca-Poopo System,Rachel,Y,N,No Results Were Found in Search
147,Narrow by > Search within results (AND),Lake Turkana OR Ch'eq bahr OR Gojeb OR Omo OR Ferguson's Gulf OR Lotagipi Swamp OR Turkwel,LKTK,Lake Turkana,Rachel,Y,N,
148,Narrow by > Search within results (AND),Lake Ubsa OR Nur,LKUN,Lake Ubsa-Nur,Rachel,N,N,
149,Narrow by > Search within results (AND),Lielupe OR Levuo OR Musa OR Berze OR Lecava OR Memele OR Misa OR Svete,LLUP,Lielupe,Rachel,Y,N,
150,Narrow by > Search within results (AND),Lough Melvin,LMEL,Lough Melvin,Rachel,Y,N,
151,Narrow by > Search within results (AND),Lempa OR Lago de Guya OR CAPS(Grande) OR Embalse Cerron Grande,LMPA,Lempa,Rachel,N,N,
152,Narrow by > Search within results (AND),Limpopo OR Changane OR Elands OR Great Brak OR Great Letaba OR Klein Olifants OR Olifants OR Oompies OR Bubi OR Insiza OR Mchabezi OR Mtshabezi OR Mwenezi OR Shashe OR Thali OR Tuli OR Umtsabezi OR Umzingwani,LMPO,Limpopo,Rachel,N,N,
153,Narrow by > Search within results (AND),Lagoon Dos Patos OR Lagoon Mirim OR Yaguaron,LMRM,Lagoon Dos Patos-Lagoon Mirim,Rachel,Y,N,
154,Narrow by > Search within results (AND),Loes,LOES,Loes,Rachel,Y,N,
155,Narrow by > Search within results (AND),Loffa,LOFF,Loffa,Rachel,Y,N,
156,Narrow by > Search within results (AND),CAPS(La Plata) OR Bermejito OR Cataratas del Iguaza OR Chunapampa OR CAPS(Corrientes) OR Esteros del Ibera OR Iruya OR Parama OR CAPS(Pasaje) OR Pilaga OR CAPS(Salado) OR Teuco OR Uruguay OR Banados de Otaguis OR Camblaya OR Pilaya OR Tucaraca OR Yura OR Amambai OR Apore OR Araguari OR Arantes OR Bois OR Capivara OR Cascatinha OR CAPS(Claro) OR Corrente OR Corumba OR Da Prata OR Doce OR CAPS(Grande) OR Iguacu OR Iguatemi OR Irinheima OR Itarare OR Ivai OR Jaguaribe OR Juramento OR Mata OR Meia Ponte OR Mosquito OR Mourao OR Mulungu OR Parado OR Paran OR Parana Panema OR Paranaiba OR Paranapanema OR Pardo OR Piquiri OR Piracicaba OR Pirapitinga OR Prata OR Saltodas Sete Quedas OR Santa Luzia OR Sao Joao OR Sao Marcos OR Sucaria OR Tibagi OR Tiete OR Turro OR Acaray OR Apa OR Confaso OR Iguazu OR Monte Lindo OR Negro OR Parana OR Pilcomayo OR Tebicaary OR Timane OR CAPS(Verde) OR Yapane,LPTA,La Plata,Rachel,N,N,
157,Narrow by > Search within results (AND),CAPS(Little) Scarcies OR Mongo,LSCR,Little Scarcies,Rachel,Y,N,
158,Narrow by > Search within results (AND),Lucia,LUCI,Lucia,Rachel,N,N,
159,Narrow by > Search within results (AND),Mana OR Morro,MANA,Mana-Morro,Rachel,Y,N,
160,Narrow by > Search within results (AND),Maro,MARO,Maro,Rachel,Y,N,
161,Narrow by > Search within results (AND),CAPS(Massacre),MASS,Massacre,Rachel,Y,N,There may be overlapping or missing data due to having to breakdown the search by timeline intervals. **could not download last 78 documents in search**
162,Narrow by > Search within results (AND),CAPS(Ma) OR Het,MAXX,Ma,Rachel,N,N,
163,Narrow by > Search within results (AND),Mbe,MBEX,Mbe,Rachel,Y,N,There may be overlapping or missing data due to having to breakdown the search by timeline intervals.
164,Narrow by > Search within results (AND),Medjerda OR Medjerdah,MDJD,Medjerda,Rachel,Y,N,
165,Narrow by > Search within results (AND),Mekong OR Aiche He OR Bi OR Buyuan OR Chas OR Cheng Jiang OR Han Jiang OR Lianjiang OR Liu Jiang OR Long Jiang OR Mei He OR Mengliu He OR Mengmei He OR Ngom OR Qin Jiang OR Rong Jiang OR Shaping He OR Subaihe OR Weiyuan OR Wuhua He OR Wuhuahe OR Wuxi He OR Yangbi OR Yangmei He OR Za OR Zi OR Chas OR Chbar OR Chhloug OR Chuok OR Daum OR Krieng OR CAPS(Por) OR Porong OR Preas OR Prek Thnot OR San OR Sanker OR Sen OR Slaku OR Sreng OR Srepok OR Stung O'Chral OR CAPS(Te) OR Thnot OR Tonle Sap OR Bak OR Bang Fai OR Bang-Nouan OR Beng OR Champhon OR CAPS(Don) OR Kading OR Kaman OR Khan OR Kong OR Lanong OR Lik OR CAPS(Ma) OR CAPS(Met) OR Moun OR Nam Ngum Reservoir OR Ngao OR Ngay OR Ngiap OR Ngum OR Noy OR CAPS(On) OR CAPS(Ou) OR Pak OR Payou OR Pha OR Phoun OR Pouy OR Tha OR Xang OR Xangxoy OR Xeipan OR Xeng OR Xong OR Xou OR Hka OR Loi OR Nanlei OR Nanlan OR Chi OR Hung OR Ing OR Kok OR Mong OR Mun OR Nam Pong OR Nong Han OR Pao OR Songkharam OR Ubolratna Reservoir OR Banghiang OR Co Chien OR Drang OR Han Giang OR Hardrai OR Krong OR CAPS(Sun),MEKO,Mekong,Raunaq,N,N,
166,Narrow by > Search within results (AND),Muhuri OR CAPS(Little) Feni,MHRI,Muhuri (aka Little Feni),Rachel,Y,N,
167,Narrow by > Search within results (AND),Anllarinos OR Boeza OR Casoyo OR Eiros OR Lona OR Mino OR Valseco OR Arnoia OR Sil OR Lor OR Bibei OR Cua OR Laguna de Antela,MINO,Mino,Rachel,Y,N,There may be overlapping or missing data due to having to breakdown the search by timeline intervals.
168,Narrow by > Search within results (AND),Mira,MIRA,Mira,Rachel,Y,N,There may be overlaps or gaps in the data due to having to split the timeline into intervals in order to successfully download the documents.
169,Narrow by > Search within results (AND),Mississippi OR Milk OR CAPS(North Fork Milk) OR CAPS(South Fork Milk) OR Porcupine Creek OR Willow Creek OR Rock Creek OR Snake Creek OR Beaver Creek OR CAPS(Little Beaver Creek) OR Frenchman OR Whitewater Creek OR Cottonwood OR Battle Creek OR Lodge Creek OR Box Elder Creek OR Big Sandy Creek OR Sage Creek OR Verdigris Couless Or CAPS(Middle Fork Milk) OR Musselshell River OR Poplar OR CAPS(West Fork Poplar) OR CAPS(West Poplar) OR CAPS(Middle Fork Poplar RIver) OR CAPS(East Fork Poplar) OR CAPS(Big Muddy Creek) OR CAPS(Smoke Creek) OR CAPS(Lake Creek) OR CAPS(Big Muddy Lake) OR CAPS(Red River)OR Ohio OR Missouri OR Arkansas OR Illinois OR Allegheny OR Tennessee OR CAPS(Salt Lake) OR Loomis Coulee OR CAPS(East Poplar) OR CAPS(Goose Creek) OR CAPS(Coal Creek) OR Morgan Creek OR CAPS(Rock Creek) OR CAPS(Horse Creek) OR La Berge Creek,MISS,Mississippi,Rachel,N,N,
170,Narrow by > Search within results (AND),Mius,MIUS,Mius,Rachel,Y,N,
171,Narrow by > Search within results (AND),Moa,MOAX,Moa,Rachel,Y,N,There may be overlaps or gaps in data due to having to split the search into timeline intervals.
172,Narrow by > Search within results (AND),Moho,MOHO,Moho,Rachel,Y,N,
173,Narrow by > Search within results (AND),Mono OR Ogou,MONO,Mono,Rachel,Y,N,There may be some missing or overlapping data due to having to breakdown the timeline during the search
174,Narrow by > Search within results (AND),Motaqua,MOTQ,Motaqua,Rachel,Y,N,No Results Were Found in Search
175,Narrow by > Search within results (AND),Maputo,MPUT,Maputo,Rachel,Y,N,There may be missing or overlapping information due to the timeline search.
176,Narrow by > Search within results (AND),Murgab OR Gushgy,MRGB,Murgab,Rachel,Y,N,
177,Narrow by > Search within results (AND),Maroni OR Litani Itany OR Marouini OR Ouagui OR Tampol,MRNI,Maroni,Rachel,Y,N,
178,Narrow by > Search within results (AND),Maritsa OR Ovtcharitza OR Skender dere,MRSA,Maritsa,Rachel,Y,N,
179,Narrow by > Search within results (AND),Mataje,MTJE,Mataje,Rachel,Y,N,
180,Narrow by > Search within results (AND),Naaf,NAAF,Naaf River,Rachel,Y,N,
181,Narrow by > Search within results (AND),Naatamo,NAAT,Naatamo,Rachel,Y,N,Results list saved as PDF due to small number of results
182,Narrow by > Search within results (AND),Nidelva,NDLV,Nidelva,Rachel,Y,N,
183,Narrow by > Search within results (AND),CAPS(Negro),NEGR,Negro,Rachel,N,N,
184,Narrow by > Search within results (AND),Saskatchewan OR Amisk Lake OR Beaverhill Lake OR CAPS(Bow) OR Brazeau OR CAPS(Candle Lake) OR CAPS(Carrot) OR CAPS(Cedar Lake) OR Chin Coulee OR CAPS(Clear Water) OR Coulee OR CAPS(Eagle Creek) OR Etzikon Coulee OR Freshfield Icefield OR CAPS(Frog Lake) OR CAPS(Goose Lake) OR Kipp Coulee OR Lake Diefenbaka OR Lake Winnipeg OR CAPS(Little Bow) OR Manitoa Lake OR McGregor Lake OR Meinsinger Creek OR Minnewanka OR Nelson OR North Saskatchewan OR Oldman OR Pakowki Lake OR CAPS(Red) OR South Saskatchewan OR Sturgeon OR CAPS(Torch) OR Travers Reservoir OR CAPS(White Fox) OR CAPS(Willow Creek) OR CAPS(Wood) OR Lake of the Woods OR Lake Sakakwer OR CAPS(Red River) of North OR Sheyenne,NELS,Nelson-Saskatchewan,Rachel,N,N,
185,Narrow by > Search within results (AND),Sirba OR Lagdo Reservoir OR CAPS(Rey) OR O:Ti-n-Amzi OR Milo OR Tinkisso OR Bagoe OR Bani OR Baoule OR Lac Do OR Lac Garou OR Lac Aougoundou OR Lac Korarou OR Lac Niangay OR Lake Debo OR Vallee de L'azaouak OR Dallol Bosso OR Eliki OR Mekrou OR Dinya OR Gongola OR Gurara OR Ka OR Kaduna OR Kainj Lake OR Kam OR Katsin a Ala OR Niger OR Oli OR Sokoto OR Taraba OR Teshi OR Wase OR Zamfara OR Benue,NGER,Niger,Rachel,N,N,
186,Narrow by > Search within results (AND),Nahr El Kebir,NHRK,Nahr El Kebir,Rachel,N,N,
187,Narrow by > Search within results (AND),Lake Nasser OR Nile OR Abay OR Akkobo OR Angereb OR Baro OR Beles OR Dabus OR Didesa OR Dinder OR Gilo Wenz OR Hanger OR Jema OR Rahad OR Tana Hayak OR T'is Isat Fwafwate OR Akobo OR Atbara OR Bahr el Arab OR Bahr el Ghazal OR Bahr el Jebel OR Mountain Nile OR Bahr ez Zar af OR Boro OR Busseri OR El Bahr Abyad OR El Bahr el Azraq OR Blue Nile OR Gel OR Geni OR Ibba OR Tonj OR Jur OR Kangen OR Kenamuke Swamp OR Khashm el Quiba Dam OR Knor Abu Habi OR Kobowen Swamp OR Kuru OR Lake No OR Lake Nubia OR Lol OR Lotilla OR Nyanding OR Pibor OR Pongo OR Raga OR Raqaba ez Zarqa OR Roah OR Na'am OR Setit OR Tekeze OR Sobat OR CAPS(Sue) OR Umbelasha OR Veveno OR Wadi Amur OR Wadi el Allaqi OR Wadi el Ghalla OR Wadi el Milk OR Wadi Gabgaba OR Wadi Muqaddm OR Wau OR Yei OR Achwa OR Morotto OR Albert Nile OR Kafu OR Lake Albert OR Lake George OR Lake Kyoga OR Lake Victoria OR Nkusi OR Peger OR Victoria Nile OR White Nile OR Busizi OR Lac Kivu OR Lake Edward OR Lake Tanganyika OR Semliki,NILE,Nile,Rachel,N,N,
188,Narrow by > Search within results (AND),Neman OR Byarezina OR Isloch' OR Kotra OR Mowchadz OR Shchara OR Srislach OR Usa OR Viliya OR Voz. Narach OR Voz. Srir OR Vynya OR Zal'ryanka OR Akmend OR Dievogala OR Dubysa OR Dusia OR Grauze OR Jura OR Mitura OR Nemunas OR Neris OR Nevezis OR Nova OR Obelis OR Ova OR Sesuris OR Striuna OR Susre OR Sventoji,NMAN,Neman,Rachel,N,N,
189,Narrow by > Search within results (AND),Neretva,NRTV,Neretva,Rachel,Y,N,
190,Narrow by > Search within results (AND),Narva OR Peipus OR Vohandu OR Cherekha OR Kuchva OR L.Peipus OR Chudskoye Ozero OR Pskovskoye Ozero OR Sinyaya OR Utroya OR Velikaya,NRVA,Narva,Rachel,Y,N,
191,Narrow by > Search within results (AND),Nestos OR Myloremma,NSTO,Nestos,Rachel,Y,N,
192,Narrow by > Search within results (AND),Nyanga,NYGA,Nyanga,Rachel,Y,N,
193,Narrow by > Search within results (AND),Narynka,NYNK,Narynka,Rachel,Y,N,No Results Were Found in Search
194,Narrow by > Search within results (AND),Ertix OR Ulungur Hu OR Ertis OR Marqukol OR Zaysan Koli OR Agan OR Chulm OR Dem'yanka OR Irtysh OR Iset' OR Ishim OR Katun' OR Kazum OR Ket' OR Koli' yegan OR Lisitsa OR Ob OR Om' OR Parabel OR Pelym OR Rim OR Sabun OR Tara OR Tavda OR Tobol OR Turtas OR Tym OR Uluyul OR Vagay OR Vakh OR Vasyugan,OBXX,Ob,Rachel,N,N,
195,Narrow by > Search within results (AND),Oued Bon Naima,ODBN,Oued Bon Naima,Rachel,Y,N,
196,Narrow by > Search within results (AND),Oder OR Lobnicky potok OR Moravice OR Barycz OR Bobr OR Grabia OR Kwisa OR Matd Panew OR Neisse OR Nysaluzyckn OR Neris OR Notec OR Nysa Klodzka OR Obra OR Odra OR Pliszka OR Prosna OR Warta OR Watna OR Widawka,ODER,Oder/Odra,Rachel,Y,N,
197,Narrow by > Search within results (AND),Ogooue OR Abanga OR Aina OR Djadie OR Djouah OR Ikoy OR Ivindo OR Leconi OR Lolo OR Mvoung OR Ngounie OR Offoue OR Ouah OR Sebe,OGOO,Ogooue,Rachel,Y,N,
198,Narrow by > Search within results (AND),Okavango OR Cuatir OR Cuito OR Makgadikgadi Pans OR Tandaue OR Boteti OR Lake Ngami OR Lake Xau OR Nata OR Okvango Delta OR Omatako OR Otjozondjou,OKVG,Okavango,Rachel,Y,N,
199,Narrow by > Search within results (AND),Olanga OR Iijoki OR Oulujoki OR Pya Ozero,OLNG,Olanga,Rachel,Y,N,"No documents past December 31, 2019"
200,Narrow by > Search within results (AND),CAPS(Oral) OR Ural,ORAL,Oral/Ural,Rachel,N,N,
201,Narrow by > Search within results (AND),Auob OR CAPS(Fish) OR CAPS(Ham) OR Nossob OR Olifants OR Boskloof OR CAPS(Bulk) OR Caledon OR Dwars OR Flouriespruit OR CAPS(Great Fish) OR Groot OR Groot Vloer OR Harts OR Heks OR Houdenbek OR Kaffir OR Kammanassie OR Kareekloof OR Kariega OR Kgabanyane OR Klip OR Koekedou OR Kromme OR Kruis OR Kuruman OR Laughin Water OR Leeu OR Loopspruit OR CAPS(Lower Fish) OR Mahawana OR Modder OR Molopo OR Mooi OR Nuwejaarspruit OR Oorkanste OR CAPS(Orange) OR Palmiet OR Populierbosspruit OR Quains OR Rietspruit OR Rooikloof OR CAPS(Sand) OR Sanddriftskloof OR Sandgat OR Skaap OR Smalblaar OR Swartkops OR Tarka OR Titus OR Vaal OR Vaal Dam OR Valsh OR Van Stadens OR Verneuk Pan,ORAN,Orange,Rachel,N,N,
202,Narrow by > Search within results (AND),Orinoco OR Ariporo OR Bichada OR Bichado OR Bita OR Bocon OR Craro Norte OR Craw Sur OR Cusiana OR Guainia OR Guaviare OR Guayabera OR Inirida OR La Garcia OR La Gallinaza OR Losada OR Manacacias OR Mapiripan OR Nare OR Pauto OR CAPS(Playas) OR Salto Angostara I OR Salto Angostura II OR Salto Angostura III OR Tomo OR Tuparro OR Upia OR Ura OR Apure OR Arauca OR Buria OR Capana Paro OR Caroni OR Casiquiare OR Caura OR Chivapuri OR Cinaruco OR Cojedos OR Conorochite OR Cuchiveto OR Embalse de Guri OR Embalse de Guarico OR Erbetuto OR Gaurico OR Guanare OR CAPS(Meta) OR Paco OR Paragua OR Paru OR Parucito OR Portuguesa OR Siapa OR Sipapo OR Suapure OR Ventuari,ORIN,Orinoco,Rachel,N,N,
203,Narrow by > Search within results (AND),Oueme OR Okpara,OUEM,Oueme,Rachel,Y,N,
204,Narrow by > Search within results (AND),Oulu,OULU,Oulu,Rachel,Y,N,
